url,name,api,api_data,quality,quality_reported_at,temperature,temperature_reported_at
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/holmen,Holmen,/api/portlet/badeplass/012,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 31. juli', 'temperature': '17,0°C', 'temperature_reported_at': 'Sist målt: 31. juli klokken 09:05'}",Mindre god,2023-07-31T00:00:00,17.0,2023-07-31T09:05:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/garnes,Garnes,/api/portlet/badeplass/017,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 31. juli', 'temperature': '17,4°C', 'temperature_reported_at': 'Sist målt: 31. juli klokken 08:45'}",God,2023-07-31T00:00:00,17.4,2023-07-31T08:45:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/kalvtrevikaheggelandsvika,Kalvtrevika/Heggelandsvika,/api/portlet/badeplass/022,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 31. juli', 'temperature': '16,9°C', 'temperature_reported_at': 'Sist målt: 31. juli klokken 08:55'}",Mindre god,2023-07-31T00:00:00,16.9,2023-07-31T08:55:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/helleneset,Helleneset,/api/portlet/badeplass/011,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 24. juli', 'temperature': '19,4°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 11:50'}",God,2023-07-24T00:00:00,19.4,2023-08-01T11:50:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/nordnes-sjobad,Nordnes Sjøbad,/api/portlet/badeplass/035,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 11. juli', 'temperature': '18,6°C', 'temperature_reported_at': 'Sist målt: 2. august klokken 09:20'}",God,2023-07-11T00:00:00,18.6,2023-08-02T09:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/sandviken-sjobad,Sandviken sjøbad,/api/portlet/badeplass/027,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 31. juli', 'temperature': '18,2°C', 'temperature_reported_at': 'Sist målt: 31. juli klokken 10:55'}",Mindre god,2023-07-31T00:00:00,18.2,2023-07-31T10:55:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/marineholmen-sandstrand,Marineholmen sandstrand,/api/portlet/badeplass/034,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 25. juli', 'temperature': '19,3°C', 'temperature_reported_at': 'Sist målt: 2. august klokken 08:15'}",Mindre god,2023-07-25T00:00:00,19.3,2023-08-02T08:15:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/mjolkevika,Mjølkevika,/api/portlet/badeplass/014,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '19,3°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 08:35'}",God,2023-08-01T00:00:00,19.3,2023-08-01T08:35:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/skjoldabukta,Skjoldabukta,/api/portlet/badeplass/028,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '20,4°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 08:00'}",Mindre god,2023-08-01T00:00:00,20.4,2023-08-01T08:00:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/gamlehaugen,Gamlehaugen,/api/portlet/badeplass/016,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '19,1°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 07:40'}",Mindre god,2023-08-01T00:00:00,19.1,2023-08-01T07:40:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/notabunesetsaganeset,Notabuneset/Saganeset,/api/portlet/badeplass/026,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '20,5°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 08:15'}",God,2023-08-01T00:00:00,20.5,2023-08-01T08:15:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fyllingsdalen/kyrkjetangen,Kyrkjetangen,/api/portlet/badeplass/013,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '20,5°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 11:20'}",God,2023-08-01T00:00:00,20.5,2023-08-01T11:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fyllingsdalen/storavatnet-krohnegarden,Storavatnet - Krohnegården,/api/portlet/badeplass/023,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 27. juli', 'temperature': '19,4°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 11:00'}",God,2023-07-27T00:00:00,19.4,2023-08-01T11:00:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/laksevag/tennebekk,Tennebekk,/api/portlet/badeplass/015,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '20,4°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 10:40'}",God,2023-08-01T00:00:00,20.4,2023-08-01T10:40:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/laksevag/godvik,Godvik,/api/portlet/badeplass/018,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '17,3°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 10:25'}",Mindre god,2023-08-01T00:00:00,17.3,2023-08-01T10:25:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/ytrebygda/sandholna,Sandholna,/api/portlet/badeplass/033,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '19,5°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 09:55'}",God,2023-08-01T00:00:00,19.5,2023-08-01T09:55:00
