url,name,api,api_data,quality,quality_reported_at,temperature,temperature_reported_at
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/holmen,Holmen,,,,,,
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/garnes,Garnes,/api/portlet/badeplass/017,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 10. juli', 'temperature': '17,3°C', 'temperature_reported_at': 'Sist målt: 17. juli klokken 09:15'}",God,2023-07-10T00:00:00,17.3,2023-07-17T09:15:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/kalvtrevikaheggelandsvika,Kalvtrevika/Heggelandsvika,,,,,,
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/helleneset,Helleneset,/api/portlet/badeplass/011,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 10. juli', 'temperature': '18,0°C', 'temperature_reported_at': 'Sist målt: 17. juli klokken 12:00'}",God,2023-07-10T00:00:00,18.0,2023-07-17T12:00:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/nordnes-sjobad,Nordnes Sjøbad,/api/portlet/badeplass/035,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 11. juli', 'temperature': '16,9°C', 'temperature_reported_at': 'Sist målt: 11. juli klokken 10:10'}",God,2023-07-11T00:00:00,16.9,2023-07-11T10:10:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/sandviken-sjobad,Sandviken sjøbad,/api/portlet/badeplass/027,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 10. juli', 'temperature': '19,0°C', 'temperature_reported_at': 'Sist målt: 10. juli klokken 11:25'}",God,2023-07-10T00:00:00,19.0,2023-07-10T11:25:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/marineholmen-sandstrand,Marineholmen sandstrand,/api/portlet/badeplass/034,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 11. juli', 'temperature': '18,0°C', 'temperature_reported_at': 'Sist målt: 11. juli klokken 09:30'}",God,2023-07-11T00:00:00,18.0,2023-07-11T09:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/mjolkevika,Mjølkevika,/api/portlet/badeplass/014,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 14. juli', 'temperature': '14,5°C', 'temperature_reported_at': 'Sist målt: 17. juli klokken 08:10'}",Mindre god,2023-07-14T00:00:00,14.5,2023-07-17T08:10:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/skjoldabukta,Skjoldabukta,/api/portlet/badeplass/028,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 12. juli', 'temperature': '18,7°C', 'temperature_reported_at': 'Sist målt: 12. juli klokken 07:50'}",Mindre god,2023-07-12T00:00:00,18.7,2023-07-12T07:50:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/gamlehaugen,Gamlehaugen,/api/portlet/badeplass/016,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 6. juli', 'temperature': '19,7°C', 'temperature_reported_at': 'Sist målt: 13. juli klokken 09:30'}",God,2023-07-06T00:00:00,19.7,2023-07-13T09:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/notabunesetsaganeset,Notabuneset/Saganeset,/api/portlet/badeplass/026,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 14. juli', 'temperature': '17,5°C', 'temperature_reported_at': 'Sist målt: 17. juli klokken 08:25'}",God,2023-07-14T00:00:00,17.5,2023-07-17T08:25:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fyllingsdalen/kyrkjetangen,Kyrkjetangen,/api/portlet/badeplass/013,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 4. juli', 'temperature': '17,6°C', 'temperature_reported_at': 'Sist målt: 13. juli klokken 09:05'}",God,2023-07-04T00:00:00,17.6,2023-07-13T09:05:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fyllingsdalen/storavatnet-krohnegarden,Storavatnet - Krohnegården,/api/portlet/badeplass/023,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 6. juli', 'temperature': '17,8°C', 'temperature_reported_at': 'Sist målt: 13. juli klokken 09:05'}",God,2023-07-06T00:00:00,17.8,2023-07-13T09:05:00
