url,name,api,api_data,quality,quality_reported_at,temperature,temperature_reported_at
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/holmen,Holmen,,,,,,
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/garnes,Garnes,/api/portlet/badeplass/017,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 10. juli', 'temperature': '18,5°C', 'temperature_reported_at': 'Sist målt: 10. juli klokken 08:20'}",God,2023-07-10T00:00:00,18.5,2023-07-10T08:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/kalvtrevikaheggelandsvika,Kalvtrevika/Heggelandsvika,,,,,,
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/helleneset,Helleneset,/api/portlet/badeplass/011,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 10. juli', 'temperature': '19,1°C', 'temperature_reported_at': 'Sist målt: 10. juli klokken 11:10'}",God,2023-07-10T00:00:00,19.1,2023-07-10T11:10:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/nordnes-sjobad,Nordnes Sjøbad,/api/portlet/badeplass/035,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 11. juli', 'temperature': '16,9°C', 'temperature_reported_at': 'Sist målt: 11. juli klokken 10:10'}",God,2023-07-11T00:00:00,16.9,2023-07-11T10:10:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/sandviken-sjobad,Sandviken sjøbad,/api/portlet/badeplass/027,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 10. juli', 'temperature': '19,0°C', 'temperature_reported_at': 'Sist målt: 10. juli klokken 11:25'}",God,2023-07-10T00:00:00,19.0,2023-07-10T11:25:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/marineholmen-sandstrand,Marineholmen sandstrand,/api/portlet/badeplass/034,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 11. juli', 'temperature': '18,0°C', 'temperature_reported_at': 'Sist målt: 11. juli klokken 09:30'}",God,2023-07-11T00:00:00,18.0,2023-07-11T09:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/mjolkevika,Mjølkevika,/api/portlet/badeplass/014,"{'quality': 'Ukjent', 'quality_reported_at': 'Sist målt: 12. juli', 'temperature': '16,0°C', 'temperature_reported_at': 'Sist målt: 12. juli klokken 08:40'}",Ukjent,2023-07-12T00:00:00,16.0,2023-07-12T08:40:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/skjoldabukta,Skjoldabukta,/api/portlet/badeplass/028,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 12. juli', 'temperature': '18,7°C', 'temperature_reported_at': 'Sist målt: 12. juli klokken 07:50'}",Mindre god,2023-07-12T00:00:00,18.7,2023-07-12T07:50:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/gamlehaugen,Gamlehaugen,/api/portlet/badeplass/016,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 6. juli', 'temperature': '19,7°C', 'temperature_reported_at': 'Sist målt: 13. juli klokken 09:30'}",God,2023-07-06T00:00:00,19.7,2023-07-13T09:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/notabunesetsaganeset,Notabuneset/Saganeset,/api/portlet/badeplass/026,"{'quality': 'Ukjent', 'quality_reported_at': 'Sist målt: 12. juli', 'temperature': '17,4°C', 'temperature_reported_at': 'Sist målt: 12. juli klokken 08:25'}",Ukjent,2023-07-12T00:00:00,17.4,2023-07-12T08:25:00
