url,name,api,api_data,quality,quality_reported_at,temperature,temperature_reported_at
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/holmen,Holmen,/api/portlet/badeplass/012,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '18,5°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 08:45'}",Mindre god,2023-08-07T00:00:00,18.5,2023-08-07T08:45:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/garnes,Garnes,/api/portlet/badeplass/017,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,8°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 08:20'}",God,2023-08-07T00:00:00,17.8,2023-08-07T08:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/kalvtrevikaheggelandsvika,Kalvtrevika/Heggelandsvika,/api/portlet/badeplass/022,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '18,4°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 08:30'}",Mindre god,2023-08-07T00:00:00,18.4,2023-08-07T08:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/helleneset,Helleneset,/api/portlet/badeplass/011,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,1°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 10:50'}",God,2023-08-07T00:00:00,17.1,2023-08-07T10:50:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/nordnes-sjobad,Nordnes Sjøbad,/api/portlet/badeplass/035,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 2. august', 'temperature': '18,6°C', 'temperature_reported_at': 'Sist målt: 2. august klokken 09:20'}",Mindre god,2023-08-02T00:00:00,18.6,2023-08-02T09:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/sandviken-sjobad,Sandviken sjøbad,/api/portlet/badeplass/027,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 31. juli', 'temperature': '17,2°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 12:30'}",Mindre god,2023-07-31T00:00:00,17.2,2023-08-07T12:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/marineholmen-sandstrand,Marineholmen sandstrand,/api/portlet/badeplass/034,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 2. august', 'temperature': '19,3°C', 'temperature_reported_at': 'Sist målt: 2. august klokken 08:15'}",Mindre god,2023-08-02T00:00:00,19.3,2023-08-02T08:15:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/mjolkevika,Mjølkevika,/api/portlet/badeplass/014,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,4°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 11:50'}",God,2023-08-07T00:00:00,17.4,2023-08-07T11:50:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/skjoldabukta,Skjoldabukta,/api/portlet/badeplass/028,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,9°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 11:20'}",Mindre god,2023-08-07T00:00:00,17.9,2023-08-07T11:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/gamlehaugen,Gamlehaugen,/api/portlet/badeplass/016,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '18,5°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 12:10'}",Mindre god,2023-08-07T00:00:00,18.5,2023-08-07T12:10:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/notabunesetsaganeset,Notabuneset/Saganeset,/api/portlet/badeplass/026,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,9°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 11:40'}",God,2023-08-07T00:00:00,17.9,2023-08-07T11:40:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fyllingsdalen/kyrkjetangen,Kyrkjetangen,/api/portlet/badeplass/013,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '20,5°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 11:20'}",God,2023-08-01T00:00:00,20.5,2023-08-01T11:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fyllingsdalen/storavatnet-krohnegarden,Storavatnet - Krohnegården,/api/portlet/badeplass/023,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 10. august', 'temperature': '13,6°C', 'temperature_reported_at': 'Sist målt: 10. august klokken 10:40'}",Mindre god,2023-08-10T00:00:00,13.6,2023-08-10T10:40:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/laksevag/tennebekk,Tennebekk,/api/portlet/badeplass/015,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 10. august', 'temperature': '14,5°C', 'temperature_reported_at': 'Sist målt: 10. august klokken 10:15'}",Mindre god,2023-08-10T00:00:00,14.5,2023-08-10T10:15:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/laksevag/godvik,Godvik,/api/portlet/badeplass/018,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '17,3°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 10:25'}",Mindre god,2023-08-01T00:00:00,17.3,2023-08-01T10:25:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/ytrebygda/sandholna,Sandholna,/api/portlet/badeplass/033,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '19,5°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 09:55'}",God,2023-08-01T00:00:00,19.5,2023-08-01T09:55:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/ytrebygda/gronevika,Grønevika,/api/portlet/badeplass/019,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '19,3°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 09:45'}",God,2023-08-01T00:00:00,19.3,2023-08-01T09:45:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/ytrebygda/lonninghavn,Lønninghavn,/api/portlet/badeplass/024,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 1. august', 'temperature': '19,2°C', 'temperature_reported_at': 'Sist målt: 1. august klokken 09:15'}",God,2023-08-01T00:00:00,19.2,2023-08-01T09:15:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/asane/gronnskjaret,Grønnskjæret,/api/portlet/badeplass/020,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,5°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 10:10'}",Mindre god,2023-08-07T00:00:00,17.5,2023-08-07T10:10:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/asane/vollane,Vollane,/api/portlet/badeplass/032,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,6°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 10:20'}",Mindre god,2023-08-07T00:00:00,17.6,2023-08-07T10:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/asane/tommervagen,Tømmervågen,/api/portlet/badeplass/031,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '18,0°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 10:30'}",Mindre god,2023-08-07T00:00:00,18.0,2023-08-07T10:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/asane/storakervika,Storåkervika,/api/portlet/badeplass/029,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,6°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 09:30'}",God,2023-08-07T00:00:00,17.6,2023-08-07T09:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/asane/toppesanden,Toppesanden,/api/portlet/badeplass/030,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,2°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 09:45'}",God,2023-08-07T00:00:00,17.2,2023-08-07T09:45:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/asane/hordvikhavn,Hordvikhavn,/api/portlet/badeplass/021,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 7. august', 'temperature': '17,6°C', 'temperature_reported_at': 'Sist målt: 7. august klokken 09:10'}",Mindre god,2023-08-07T00:00:00,17.6,2023-08-07T09:10:00
